Departure City,Arrival City,Date Leave,Date Return,Departure Time,Arrival Time,Company,Price,Scraping Date
HCM,HAN,2024-02-05,2024-02-16,12:10,2:20,VietJet Air,"6,007,200",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,12:05,2:15,Vietravel Airlines,"6,305,280",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,12:20,2:30,Vietravel Airlines,"6,305,280",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,17:55,19:45,Vietnam Airlines,"7,050,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,00:50,15:00,Bamboo Airways,N/A,2024-01-01
HCM,HAN,2024-02-05,2024-02-16,21:40,23:50,VietJet Air,"6,007,200",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,22:50,1:00,VietJet Air,"6,007,200",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,23:35,1:45,VietJet Air,"6,007,200",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,23:40,1:50,VietJet Air,"6,007,200",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,23:50,1:55,VietJet Air,"6,007,200",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,4:30,6:40,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,5:15,7:25,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,6:00,8:10,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,6:30,8:40,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,7:00,9:10,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,8:05,10:15,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,10:10,00:20,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,13:20,15:30,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,13:55,16:10,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,15:20,17:30,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,16:30,18:40,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,17:50,20:10,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,18:50,21:00,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,19:40,21:50,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,21:00,23:10,VietJet Air,"6,180,000",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,17:45,19:55,Vietravel Airlines,"6,305,280",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,9:30,11:40,VietJet Air,"6,374,400",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,00:55,15:05,VietJet Air,"6,374,400",2024-01-01
HCM,HAN,2024-02-05,2024-02-16,14:25,16:35,VietJet Air,"6,374,400",2024-01-01
